都道府県別,国公立短大・高専,私立短大・高専,国公立大学,私立大学
北海道,0 ,98 ,"1,533 ","2,698 "
青森県,0 ,225 ,169 ,14 
岩手県,0 ,0 ,272 ,44 
宮城県,0 ,0 ,"1,460 ","3,220 "
秋田県,0 ,15 ,66 ,101 
山形県,34 ,65 ,266 ,128 
福島県,0 ,0 ,262 ,116 
茨城県,96 ,178 ,208 ,0 
栃木県,0 ,0 ,82 ,543 
群馬県,65 ,96 ,634 ,357 
埼玉県,163 ,365 ,625 ,"7,580 "
千葉県,0 ,715 ,248 ,"4,340 "
東京都,795 ,"2,472 ","4,125 ","46,373 "
神奈川県,148 ,"3,768 ","6,640 ","28,844 "
新潟県,0 ,840 ,566 ,"2,010 "
富山県,0 ,120 ,95 ,0 
石川県,0 ,0 ,596 ,"1,741 "
福井県,45 ,0 ,425 ,314 
山梨県,0 ,117 ,191 ,280 
長野県,113 ,0 ,272 ,531 
岐阜県,0 ,393 ,427 ,"1,624 "
静岡県,84 ,0 ,427 ,"1,125 "
愛知県,0 ,903 ,"1,389 ","9,391 "
三重県,61 ,0 ,484 ,60 
滋賀県,0 ,0 ,559 ,"1,873 "
京都府,0 ,324 ,682 ,"6,064 "
大阪府,808 ,199 ,"1,790 ","12,910 "
兵庫県,0 ,78 ,"1,885 ","4,269 "
奈良県,0 ,0 ,552 ,"1,548 "
和歌山県,0 ,0 ,143 ,349 
鳥取県,55 ,30 ,166 ,9 
島根県,273 ,16 ,240 ,0 
岡山県,0 ,0 ,450 ,"1,213 "
広島県,288 ,76 ,186 ,"1,676 "
山口県,87 ,58 ,215 ,11 
徳島県,0 ,0 ,419 ,288 
香川県,401 ,88 ,363 ,135 
愛媛県,288 ,169 ,477 ,774 
高知県,0 ,101 ,356 ,423 
福岡県,157 ,93 ,"1,371 ","4,176 "
佐賀県,0 ,166 ,221 ,428 
長崎県,113 ,0 ,651 ,140 
熊本県,"1,080 ",141 ,"1,716 ","2,060 "
大分県,0 ,204 ,676 ,180 
宮崎県,0 ,0 ,368 ,170 
鹿児島県,0 ,187 ,866 ,535 
沖縄県,65 ,0 ,372 ,423 
